;adjusted close;adjusted close;adjusted close;adjusted close;adjusted close
ticker;AAPL;AMZN;MSFT;NFLX;TSLA
date;;;;;
2010-01-29;5.9165;125.41;22.0077;8.8928;
2010-02-26;6.3033;118.4;22.493;9.4357;
2010-03-31;7.2392;135.77;22.9775;10.5343;
2010-04-30;8.0429;137.1;23.9562;14.1286;
2010-05-28;7.9132;125.46;20.3334;15.8786;
2010-06-30;7.7484;109.26;18.1345;15.5214;
2010-07-30;7.9246;117.89;20.3413;14.65;3.988
2010-08-31;7.4887;124.83;18.5904;17.9314;3.896
2010-09-30;8.741;157.06;19.4025;23.1657;4.081
2010-10-29;9.2717;165.23;21.1257;24.7957;4.368
2010-11-30;9.585;175.4;20.1346;29.4143;7.066
2010-12-31;9.9365;180.0;22.2491;25.1;5.326
2011-01-31;10.4528;169.64;22.1016;30.5828;4.82
2011-02-28;10.8807;173.29;21.3146;29.5243;4.778
2011-03-31;10.7358;180.13;20.3603;33.9685;5.55
2011-04-29;10.7858;195.81;20.7854;33.2385;5.52
2011-05-31;10.7149;196.69;20.1865;38.6857;6.028
2011-06-30;10.3404;204.49;20.9856;37.5271;5.826
2011-07-29;12.0288;222.52;22.1156;37.9985;5.634
2011-08-31;11.8547;215.23;21.6054;33.5728;4.948
2011-09-30;11.7466;216.23;20.2164;16.1814;4.878
2011-10-31;12.4693;213.51;21.6297;11.7257;5.874
2011-11-30;11.7737;192.29;20.9323;9.2186;6.548
2011-12-30;12.4761;173.1;21.2432;9.8986;5.712
2012-01-31;14.0619;194.44;24.1646;17.1714;5.814
2012-02-29;16.7099;179.69;26.1448;15.8186;6.682
2012-03-30;18.4692;202.51;26.569;16.4343;7.448
2012-04-30;17.9896;231.9;26.3713;11.4486;6.626
2012-05-31;17.797;212.91;24.2035;9.0628;5.9
2012-06-29;17.9902;228.35;25.3643;9.7836;6.258
2012-07-31;18.8145;233.3;24.4356;8.1214;5.484
2012-08-31;20.5803;248.27;25.7246;8.5314;5.704
2012-09-28;20.638;254.32;24.8399;7.7771;5.856
2012-10-31;18.4172;232.8931;23.8216;11.3199;5.6263
2012-11-30;18.1926;252.05;22.4035;11.6728;6.764
2012-12-31;16.5418;250.87;22.4832;13.2271;6.774
2013-01-31;14.1582;265.5;23.1063;23.6057;7.502
2013-02-28;13.7979;264.27;23.5929;26.8685;6.966
2013-03-28;13.8373;266.49;24.276;27.04;7.578
2013-04-30;13.8411;253.81;28.0908;30.8671;10.798
2013-05-31;14.1524;269.2;29.8215;32.3214;19.552
2013-06-28;12.4781;277.69;29.5182;30.1557;21.472
2013-07-31;14.2403;301.22;27.2068;34.9263;26.856
